Date,High,Low,Open,Close,Volume,Adj Close
2006-10-02,59.880001068115234,59.029998779296875,59.79999923706055,59.150001525878906,2018800,59.150001525878906
2006-10-03,58.13999938964844,56.90999984741211,57.93000030517578,57.11000061035156,5233800,57.11000061035156
2006-10-04,57.52000045776367,55.54999923706055,57.470001220703125,56.369998931884766,8153900,56.369998931884766
2006-10-05,57.02000045776367,56.31999969482422,56.939998626708984,56.91999816894531,3890700,56.91999816894531
2006-10-06,57.02000045776367,55.630001068115234,56.279998779296875,56.9900016784668,4282700,56.9900016784668
2006-10-09,57.5,56.720001220703125,57.459999084472656,57.20000076293945,2689800,57.20000076293945
2006-10-10,57.279998779296875,56.47999954223633,56.54999923706055,57.0,3422100,57.0
2006-10-11,57.52000045776367,56.70000076293945,57.29999923706055,56.880001068115234,2944200,56.880001068115234
2006-10-12,57.4900016784668,56.650001525878906,56.7400016784668,57.4900016784668,2777500,57.4900016784668
2006-10-13,58.599998474121094,57.939998626708984,58.25,58.56999969482422,3078400,58.56999969482422
2006-10-16,59.18000030517578,58.720001220703125,58.93000030517578,59.16999816894531,1986300,59.16999816894531
2006-10-17,59.099998474121094,58.119998931884766,59.0,58.650001525878906,2657100,58.650001525878906
2006-10-18,59.029998779296875,58.2599983215332,58.81999969482422,58.59000015258789,3679000,58.59000015258789
2006-10-19,59.650001525878906,59.02000045776367,59.040000915527344,59.40999984741211,2952900,59.40999984741211
2006-10-20,59.47999954223633,58.650001525878906,59.45000076293945,58.779998779296875,3190500,58.779998779296875
2006-10-23,58.189998626708984,57.52000045776367,57.880001068115234,57.7599983215332,3521800,57.7599983215332
2006-10-24,58.2599983215332,56.869998931884766,57.20000076293945,58.16999816894531,3558200,58.16999816894531
2006-10-25,58.779998779296875,57.54999923706055,57.83000183105469,58.7599983215332,4384200,58.7599983215332
2006-10-26,59.45000076293945,58.97999954223633,59.029998779296875,59.290000915527344,5241100,59.290000915527344
2006-10-27,59.56999969482422,59.040000915527344,59.43000030517578,59.400001525878906,3080700,59.400001525878906
2006-10-30,60.650001525878906,59.880001068115234,60.04999923706055,59.900001525878906,4675700,59.900001525878906
2006-10-31,60.36000061035156,59.56999969482422,59.59000015258789,60.2400016784668,4603000,60.2400016784668
2006-11-01,61.54999923706055,60.68000030517578,61.029998779296875,61.36000061035156,8172300,61.36000061035156
2006-11-02,62.189998626708984,61.470001220703125,61.470001220703125,61.91999816894531,6680500,61.91999816894531
